Tire_ID,age_category,check_point_zero
MK1598A,400-799,480.0
AM156,0-399,480.0
AM151,400-799,480.0
KR9604,400-799,480.0
AM143,400-799,480.0
0818KB14,400-799,480.0
0718KB16,400-799,480.0
0818KB15,400-799,480.0
GT293W,400-799,480.0
GT291W,400-799,480.0
KR9539,400-799,480.0
MK7058A,400-799,480.0
KR11702,400-799,480.0
KR11202,400-799,480.0
KR11204,400-799,480.0
GT288W,400-799,480.0
AM5049A,400-799,480.0
KH5814AW,400-799,480.0
0714T05,0-399,480.0
0718KB09,400-799,480.0
1214RC27,400-799,480.0
MK6914,400-799,480.0
1214T13,400-799,480.0
JM2259,400-799,510.0
MK1723A,400-799,510.0
KR9067X,400-799,510.0
CK226,400-799,510.0
GT302W,400-799,510.0
0216HT30,400-799,510.0
KH5850AW,400-799,510.0
AM5163WA,400-799,510.0
0216HT28,400-799,510.0
JM2258,400-799,510.0
KR9108X,400-799,510.0
DC4962C,400-799,510.0
KH6247W,400-799,510.0
MK6930,400-799,510.0
KRA8793,400-799,510.0
0416W04,400-799,510.0
0216HT07,400-799,510.0
KR8786,400-799,510.0
AM164,0-399,510.0
MK6924,400-799,510.0
AM5046A,400-799,510.0
AM639,400-799,510.0
0718KB03,400-799,510.0
AM5047A,400-799,510.0
KR11690,400-799,510.0
KR9827,400-799,540.0
KH6442A,400-799,540.0
KR11242,400-799,540.0
AM5175WC,400-799,540.0
KR9070X,400-799,540.0
KR10825,400-799,540.0
KR9807,400-799,540.0
MK1418A,400-799,540.0
KR9533X,400-799,540.0
MK1571A,400-799,540.0
KR9555,400-799,540.0
MK6927,400-799,540.0
MK1574A,400-799,540.0
CK219,400-799,540.0
0815W02,400-799,540.0
AM5046AA,400-799,540.0
AM5007A,400-799,540.0
KR8580,400-799,540.0
0319KB302,400-799,540.0
0215T02,400-799,540.0
ST17W,400-799,540.0
STX17,400-799,540.0
MK6929,400-799,540.0
1216H07,400-799,540.0
0818KB17,400-799,540.0
KR8794,400-799,540.0
1214T14,400-799,540.0
KR8786X,400-799,540.0
STX13,400-799,540.0
KH6605W,400-799,540.0
MK6921,400-799,540.0
AM629,400-799,540.0
KR11516,400-799,570.0
KR11207,400-799,570.0
KR10456,400-799,570.0
KH5857AW,400-799,570.0
0518KB103,400-799,570.0
KR10453,400-799,570.0
GT428,400-799,570.0
AM280,400-799,570.0
914RC17,400-799,570.0
KH5821AW,400-799,570.0
GT424,400-799,570.0
KR10486,400-799,570.0
GT215B,400-799,570.0
KH5740A,400-799,570.0
0316W04X,400-799,570.0
0916C305,400-799,570.0
KR7982,400-799,570.0
GT433,400-799,570.0
KR10377,400-799,570.0
KR10450,400-799,570.0
KR11056,400-799,570.0
1216H01,400-799,570.0
KR10390,400-799,570.0
0316W05X,400-799,570.0
KR11264,400-799,570.0
KH6188W,400-799,570.0
DC4477,400-799,570.0
MK1604A,400-799,570.0
0518KB01,400-799,570.0
MK1705A,400-799,570.0
GT439,400-799,570.0
0718KB12,400-799,570.0
KH5743A,400-799,570.0
KH5830AW,400-799,570.0
KR8780,400-799,570.0
KR10584,400-799,570.0
JM2264,400-799,570.0
0319KB103,400-799,570.0
0714T43,400-799,570.0
JM2262,400-799,570.0
JM2261,400-799,570.0
0818KB20,400-799,570.0
KR8809,400-799,570.0
KR8801X,400-799,570.0
KR10425,400-799,570.0
KR9043X,400-799,570.0
AM373,400-799,570.0
MK1657A,400-799,570.0
GT437,400-799,570.0
KR10093,400-799,570.0
JM2267,400-799,570.0
KH6404SEN,400-799,570.0
ST14W,400-799,570.0
KR9048X,400-799,570.0
0216HT04,400-799,570.0
0818KB10,400-799,570.0
KR10595,400-799,570.0
KR9587,400-799,570.0
0818KB16,400-799,570.0
0216HT06,400-799,570.0
KR9525,400-799,570.0
KR9538,400-799,570.0
KR8837,400-799,570.0
0216HT05,400-799,570.0
KR8787,400-799,570.0
AM154,400-799,570.0
KR10097,400-799,570.0
MK1656A,400-799,570.0
KR9794,400-799,600.0
AM136,400-799,600.0
JM2266,400-799,600.0
JM2268,400-799,600.0
JM2269,400-799,600.0
GT303W,400-799,600.0
JM2265,400-799,600.0
KR9801,400-799,600.0
KR9547,400-799,600.0
GT296W,400-799,600.0
0518KB02,400-799,600.0
JM2305WW,400-799,600.0
AM391,400-799,600.0
KR9809,400-799,600.0
KR9545,400-799,600.0
0419T03,400-799,600.0
KH6189W,400-799,600.0
KH6407SEN,400-799,600.0
MK1608A,400-799,600.0
0319KB104,400-799,600.0
AM5025A,400-799,600.0
KR10471,400-799,600.0
MK1543A,400-799,600.0
AM374,400-799,600.0
0519WA153,400-799,600.0
KR10569,400-799,600.0
KR10461,400-799,600.0
MK6523,400-799,600.0
MK1634A,400-799,600.0
AM293,400-799,600.0
AM139,400-799,600.0
0519WA151,400-799,600.0
KR10812,400-799,600.0
KR10109,400-799,600.0
KR9106X,400-799,600.0
AM5018A,400-799,600.0
0216HT29,400-799,600.0
CT50,400-799,600.0
KR10374,400-799,600.0
MK1593A,400-799,600.0
AM5010A,400-799,600.0
KR10113,400-799,600.0
JM2304WW,400-799,600.0
KR10847,400-799,600.0
KR10833,400-799,600.0
KR8863,400-799,600.0
MK1644A,400-799,600.0
KR11052,400-799,600.0
KR8778X,400-799,600.0
STX10,400-799,600.0
KR10822,400-799,600.0
KR8859,400-799,600.0
KR11695,400-799,600.0
KR11504,400-799,600.0
KR11059,400-799,600.0
0216HT01,400-799,600.0
KR10832,400-799,600.0
KR11505,400-799,600.0
KR11257,400-799,600.0
KH6223W,400-799,600.0
MK1693A,400-799,600.0
MK6549,400-799,600.0
KR8850,400-799,600.0
KH5842AW,400-799,600.0
KR10826,400-799,600.0
STX16,400-799,600.0
0216HT08,400-799,600.0
MK1684A,400-799,600.0
KH6224W,400-799,600.0
0319KB203,400-799,600.0
KR7989,400-799,600.0
KH5827AW,400-799,600.0
XST06,400-799,600.0
KH6229W,400-799,600.0
KR10842,400-799,600.0
KH5586A,400-799,600.0
KR10850,400-799,600.0
KR10834,400-799,600.0
CK128,400-799,600.0
KR8803,400-799,600.0
KH5819AW,400-799,600.0
KH5818AW,400-799,600.0
MK1700A,400-799,600.0
KH5745A,400-799,600.0
ST18W,400-799,600.0
CK229,400-799,630.0
KR10816,400-799,630.0
CK227,400-799,630.0
AM291,400-799,630.0
KH6405SEN,400-799,630.0
KR8799X,400-799,630.0
KH6239W,400-799,630.0
KH6237W,400-799,630.0
KH5479A,400-799,630.0
KH6401SEN,400-799,630.0
KH5308A,400-799,630.0
KR9565,400-799,630.0
KR10104,400-799,630.0
KR8851,400-799,630.0
MK6542,400-799,630.0
0714T42,400-799,630.0
KR11055,400-799,630.0
AM370,400-799,630.0
KR10098,400-799,630.0
KR9517,400-799,630.0
0714T38,400-799,630.0
STX11,400-799,630.0
0814T36,400-799,630.0
MK6919,400-799,630.0
KR9590,400-799,630.0
MK1606A,400-799,630.0
0714T37,400-799,630.0
KR10536,400-799,630.0
AM393,400-799,630.0
JM2280,400-799,630.0
KR8795X,400-799,630.0
MK6509,400-799,630.0
KR9599,400-799,630.0
KR8791,400-799,630.0
MK1689A,400-799,630.0
STO04,400-799,630.0
KR11066,400-799,630.0
0419T01,400-799,630.0
STX01,400-799,630.0
MK1690A,400-799,630.0
0419T02,400-799,630.0
KR9629,400-799,630.0
STX07,400-799,630.0
1215W01,400-799,630.0
KR8738,400-799,630.0
1215W03,400-799,630.0
KR10813,400-799,630.0
AM284,400-799,630.0
KR10563,400-799,630.0
AM290,400-799,630.0
KR10811,400-799,630.0
0216HT12,400-799,630.0
KH6225W,400-799,630.0
KR9813,400-799,630.0
KR9816,400-799,630.0
KR11220,400-799,630.0
0216HT27,400-799,630.0
MK6517,400-799,630.0
KH6206W,400-799,630.0
MK6516,400-799,630.0
KR9773,400-799,630.0
KH6233W,400-799,630.0
CK124,400-799,630.0
AM303,400-799,630.0
KH6230W,400-799,630.0
914RC05,400-799,630.0
KR9791,400-799,630.0
AM328,400-799,630.0
CK129,400-799,630.0
0216HT26,400-799,630.0
KR10526,400-799,630.0
KH6207W,400-799,630.0
MK6532,400-799,630.0
0714T33,400-799,630.0
KR8582,400-799,630.0
KR7987,400-799,630.0
MK1587A,400-799,630.0
KR11347,400-799,630.0
KH5835AW,400-799,630.0
KR10835,400-799,630.0
KR9537X,400-799,630.0
KH5589A,400-799,630.0
KR9539X,400-799,630.0
KH6203W,400-799,630.0
KH6236W,400-799,630.0
KH5472A,400-799,630.0
KH5832AW,400-799,630.0
KH6226W,400-799,630.0
KH6204W,400-799,630.0
1214T08,400-799,630.0
KR11258,400-799,630.0
0419T06,400-799,630.0
KR8576,400-799,630.0
KR9808,400-799,630.0
AM321,400-799,630.0
KH6227W,400-799,630.0
KH6184W,400-799,630.0
MK1527A,400-799,630.0
MK1759A,400-799,630.0
KR9803,400-799,630.0
0815W06,400-799,630.0
AM323,400-799,630.0
STX24,400-799,660.0
KR8915X,400-799,660.0
AM317,400-799,660.0
KR8590,400-799,660.0
MK1670A,400-799,660.0
AM281,400-799,660.0
GT287W,400-799,660.0
KR9576,400-799,660.0
KR11262,400-799,660.0
KR9597,400-799,660.0
MK1455A,400-799,660.0
MK1472A,400-799,660.0
KR11294,400-799,660.0
KR9574,400-799,660.0
KR9639,400-799,660.0
KR11332,400-799,660.0
ST04W,400-799,660.0
0216HT02,400-799,660.0
KR9567,400-799,660.0
0216HT17,400-799,660.0
KR8584,400-799,660.0
0216HT10,400-799,660.0
KR9782,400-799,660.0
KR8572,400-799,660.0
AM341,400-799,660.0
AM292,400-799,660.0
KR11511,400-799,660.0
KR11510,400-799,660.0
AM371,400-799,660.0
AM367,400-799,660.0
AM361,400-799,660.0
ST16W,400-799,660.0
AM294,400-799,660.0
MK1526A,400-799,660.0
KR8852,400-799,660.0
CT52,400-799,660.0
KH6586W,400-799,660.0
KR11259,400-799,660.0
KH6228W,400-799,660.0
KH6604W,400-799,660.0
KR10101,400-799,660.0
KR10107,400-799,660.0
KR11263,400-799,660.0
0815A101,400-799,660.0
KR10434,400-799,660.0
KR10464,400-799,660.0
KR10474,400-799,660.0
