Episode,Timestep,Reward
1511,16,15
1512,20,-140
1513,20,-155
1514,20,-140
1515,20,-155
1516,20,-155
1517,20,-95
1518,20,-170
1519,20,-170
1520,20,-140
1521,20,-170
1522,20,-155
1523,20,-110
1524,20,-140
1525,20,-155
1526,20,-140
1527,20,-140
1528,20,-125
1529,20,-110
1530,20,-140
1531,20,-140
1532,20,-125
1533,20,-110
1534,20,-125
1535,20,-80
1536,20,-140
1537,20,-140
1538,20,-110
1539,20,-170
1540,20,-140
1541,20,-155
1542,20,-170
1543,20,-140
1544,20,-125
1545,20,-110
1546,20,-140
1547,20,-155
1548,20,-125
1549,20,-140
1550,20,-125
1551,20,-110
1552,20,-110
1553,20,-125
1554,20,-155
1555,20,-125
1556,20,-140
1557,20,-110
1558,20,-140
1559,20,-125
1560,20,-110
1561,20,-65
1562,20,-140
1563,20,-50
1564,15,40
1565,18,-5
1566,20,-140
1567,20,-155
1568,20,-140
1569,20,-65
1570,20,-125
1571,20,-95
1572,20,-140
1573,20,-155
1574,20,-110
1575,20,-95
1576,20,-95
1577,20,-170
1578,20,-110
1579,20,-140
1580,20,-110
1581,20,-140
1582,20,-155
1583,20,-80
1584,20,-170
1585,20,-155
1586,20,-110
1587,20,-110
1588,20,-50
1589,20,-140
1590,20,-185
1591,20,-65
1592,20,-65
1593,20,-95
1594,20,-170
1595,20,-125
1596,20,-125
1597,20,-170
1598,20,-110
1599,20,-155
1600,20,-140
1601,20,-80
1602,20,-65
1603,20,-125
1604,20,-80
1605,20,-140
1606,20,-155
1607,20,-140
1608,20,-125
1609,20,-125
1610,20,-125
1611,20,-155
1612,20,-125
1613,20,-125
1614,20,-80
1615,20,-155
1616,20,-95
1617,20,-170
1618,20,-80
1619,20,-50
1620,20,-140
1621,20,-125
1622,20,-110
1623,20,-125
1624,20,-155
1625,20,-65
1626,20,-110
1627,20,-140
1628,20,-170
1629,20,-140
1630,20,-140
1631,20,-140
1632,20,-140
1633,20,-110
1634,20,-95
1635,20,-110
1636,20,-95
1637,20,-110
1638,20,-170
1639,20,-140
1640,20,-155
1641,20,-155
1642,20,-170
1643,20,-125
1644,20,-80
1645,20,-125
1646,20,-140
1647,20,-140
1648,20,-155
1649,20,-140
1650,20,-95
1651,20,-110
1652,20,-110
1653,20,-125
1654,20,-125
1655,20,-110
1656,20,-110
1657,20,-140
1658,20,-110
1659,15,-20
1660,20,-125
1661,20,-170
1662,20,-140
1663,20,-155
1664,20,-125
1665,20,-155
1666,20,-80
1667,20,-140
1668,20,-170
1669,20,-110
1670,20,-125
1671,20,-155
1672,20,-110
1673,20,-95
1674,20,-140
1675,20,-80
1676,20,-140
1677,20,-65
1678,20,-140
1679,20,-125
1680,20,-140
1681,20,-140
1682,20,-125
1683,20,-80
1684,20,-80
1685,20,-110
1686,20,-140
1687,20,-170
1688,20,-155
1689,20,-155
1690,20,-155
1691,20,-125
1692,20,-110
1693,20,-110
1694,20,-125
1695,20,-125
1696,20,-155
1697,20,-140
1698,20,-80
1699,20,-170
1700,20,-200
1701,20,-155
1702,20,-80
1703,20,-95
1704,20,-65
1705,20,-140
1706,20,-200
1707,20,-95
1708,20,-110
1709,20,-140
1710,20,-185
1711,20,-125
1712,20,-95
1713,20,-185
1714,20,-110
1715,20,-125
1716,20,-170
1717,20,-125
1718,20,-140
1719,20,-140
1720,20,-125
1721,20,-170
1722,20,-110
1723,20,-125
1724,20,-140
1725,20,-110
1726,20,-140
1727,20,-95
1728,20,-80
1729,20,-155
1730,20,-170
